customerID,Churn,ChurnFlag,tenure,tenure_band,MonthlyCharges,monthly_band,TotalCharges,customer_value,services_count,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Partner_bin,Dependents_bin,PhoneService_bin,PaperlessBilling_bin,OnlineSecurity_active,OnlineBackup_active,DeviceProtection_active,TechSupport_active,StreamingTV_active,StreamingMovies_active,MultipleLines_active
7590-VHVEG,No,0,1,1-6,29.85,"(25.05, 58.83]",29.85,29.85,1,Female,0,Yes,No,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,1,0,0,1,0,1,0,0,0,0,0
5575-GNVDE,No,0,34,25-48,56.95,"(25.05, 58.83]",1889.5,1936.3000000000002,2,Male,0,No,No,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,0,0,1,0,1,0,1,0,0,0,0
3668-QPYBK,Yes,1,2,1-6,53.85,"(25.05, 58.83]",108.15,107.7,2,Male,0,No,No,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,0,0,1,1,1,1,0,0,0,0,0
7795-CFOCW,No,0,45,25-48,42.3,"(25.05, 58.83]",1840.75,1903.4999999999998,3,Male,0,No,No,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),0,0,0,0,1,0,1,1,0,0,0
9237-HQITU,Yes,1,2,1-6,70.7,"(58.83, 79.1]",151.65,141.4,0,Female,0,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0,0,1,1,0,0,0,0,0,0,0
9305-CDSKC,Yes,1,8,7-12,99.65,"(94.25, 118.75]",820.5,797.2,4,Female,0,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0,0,1,1,0,0,1,0,1,1,1
1452-KIOVK,No,0,22,13-24,89.1,"(79.1, 94.25]",1949.4,1960.1999999999998,3,Male,0,No,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),0,1,1,1,0,1,0,0,1,0,1
6713-OKOMC,No,0,10,7-12,29.75,"(25.05, 58.83]",301.9,297.5,1,Female,0,No,No,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,0,0,0,0,1,0,0,0,0,0,0
7892-POOKP,Yes,1,28,25-48,104.8,"(94.25, 118.75]",3046.05,2934.4,5,Female,0,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1,0,1,1,0,0,1,1,1,1,1
6388-TABGU,No,0,62,49-72,56.15,"(25.05, 58.83]",3487.95,3481.2999999999997,2,Male,0,No,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),0,1,1,0,1,1,0,0,0,0,0
9763-GRSKD,No,0,13,13-24,49.95,"(25.05, 58.83]",587.45,649.35,1,Male,0,Yes,Yes,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,1,1,1,1,1,0,0,0,0,0,0
7469-LKBCI,No,0,16,13-24,18.95,"(18.249, 25.05]",326.8,303.2,0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0,0,1,0,0,0,0,0,0,0,0
8091-TTVAX,No,0,58,49-72,100.35,"(94.25, 118.75]",5681.1,5820.299999999999,4,Male,0,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),1,0,1,0,0,0,1,0,1,1,1
0280-XJGEX,Yes,1,49,49-72,103.7,"(94.25, 118.75]",5036.3,5081.3,5,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0,0,1,1,0,1,1,0,1,1,1
5129-JLPIS,No,0,25,25-48,105.5,"(94.25, 118.75]",2686.05,2637.5,5,Male,0,No,No,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,0,1,1,1,0,1,1,1,1,0
3655-SNQYZ,No,0,69,49-72,113.25,"(94.25, 118.75]",7895.15,7814.25,7,Female,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),1,1,1,0,1,1,1,1,1,1,1
8191-XWSZG,No,0,52,49-72,20.65,"(18.249, 25.05]",1022.95,1073.8,0,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0,0,1,0,0,0,0,0,0,0,0
9959-WOFKT,No,0,71,49-72,106.7,"(94.25, 118.75]",7382.25,7575.7,5,Male,0,No,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),0,1,1,0,1,0,1,0,1,1,1
4190-MFLUW,Yes,1,10,7-12,55.2,"(25.05, 58.83]",528.35,552.0,2,Female,0,Yes,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),1,1,1,0,0,0,1,1,0,0,0
4183-MYFRB,No,0,21,13-24,90.05,"(79.1, 94.25]",1862.9,1891.05,3,Female,0,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0,0,1,1,0,1,1,0,0,1,0
8779-QRDMV,Yes,1,1,1-6,39.65,"(25.05, 58.83]",39.65,39.65,2,Male,1,No,No,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0,0,0,1,0,0,1,0,0,1,0
1680-VDCWW,No,0,12,7-12,19.8,"(18.249, 25.05]",202.25,237.60000000000002,0,Male,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),1,0,1,0,0,0,0,0,0,0,0
1066-JKSGK,Yes,1,1,1-6,20.15,"(18.249, 25.05]",20.15,20.15,0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,0,1,0,0,0,0,0,0,0,0
